id_aluno,grupo,pre_teste,pos_teste,nps,sus_q1,sus_q2,sus_q3,sus_q4,sus_q5,sus_q6,sus_q7,sus_q8,sus_q9,sus_q10
1,controle,7,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,controle,7,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,controle,13,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,controle,6,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,controle,7,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,experimental,5,10,8,5,2,4,3,3,1,4,1,5,5
7,experimental,10,9,8,4,3,3,2,4,2,4,3,4,3
8,experimental,6,8,7,3,3,2,5,3,2,3,2,3,3
9,experimental,7,10,10,4,1,4,2,5,1,5,1,5,1
10,experimental,7,12,10,5,2,4,3,5,2,5,1,5,5
11,experimental,6,11,10,5,2,5,4,5,2,5,1,5,1
